src,dst,time_s_2018,distance_km_2018,time_s_2025,distance_km_2025,delta_time_s,delta_distance_km
5.0,7.0,2260,37.466,2325.0,37.606,65.0,0.14000000000000057
5.0,8.0,2932,51.593,3008.0,52.77,76.0,1.1769999999999996
5.0,9.0,1077,16.621,1011.0,16.759,-66.0,0.13800000000000168
5.0,10.0,2939,50.075,3337.0,54.554,398.0,4.478999999999999
5.0,11.0,462,5.108,363.0,5.236,-99.0,0.1280000000000001
5.0,12.0,2847,49.677,2948.0,51.953,101.0,2.2760000000000034
5.0,13.0,3069,53.651,2983.0,52.662,-86.0,-0.9890000000000043
5.0,14.0,1685,26.547,1759.0,32.681,74.0,6.133999999999997
5.0,15.0,2810,49.469,2776.0,49.492,-34.0,0.022999999999996135
5.0,16.0,2862,50.066,2890.0,50.181,28.0,0.11499999999999488
5.0,17.0,1026,13.629,1066.0,18.046,40.0,4.417
5.0,18.0,556,6.327,487.0,7.019,-69.0,0.6920000000000002
5.0,19.0,862,9.677,918.0,10.771,56.0,1.0940000000000012
5.0,20.0,2228,40.642,2292.0,40.711,64.0,0.06899999999999551
5.0,21.0,1254,18.966,1155.0,18.786,-99.0,-0.17999999999999972
5.0,22.0,3617,46.515,2977.0,55.269,-640.0,8.753999999999998
5.0,23.0,2502,37.076,2298.0,39.325,-204.0,2.2490000000000023
5.0,24.0,3242,55.171,3366.0,57.529,124.0,2.358000000000004
5.0,25.0,2414,36.174,2243.0,39.424,-171.0,3.25
5.0,26.0,3096,55.316,3277.0,55.77,181.0,0.4540000000000006
5.0,27.0,1082,13.963,1006.0,13.862,-76.0,-0.10099999999999909
5.0,28.0,1339,18.305,1325.0,21.157,-14.0,2.8520000000000003
5.0,29.0,2394,39.994,2434.0,40.777,40.0,0.7830000000000013
5.0,30.0,2381,41.277,2464.0,41.324,83.0,0.046999999999997044
5.0,31.0,2665,46.364,2841.0,49.398,176.0,3.034000000000006
5.0,32.0,1982,34.023,1807.0,29.267,-175.0,-4.756000000000004
5.0,33.0,3045,43.492,2767.0,46.433,-278.0,2.9410000000000025
5.0,34.0,1338,19.94,1305.0,20.396,-33.0,0.4559999999999995
5.0,35.0,2936,52.913,3095.0,54.609,159.0,1.696000000000005
5.0,36.0,680,6.952,474.0,7.09,-206.0,0.1379999999999999
5.0,37.0,2445,43.923,2491.0,43.983,46.0,0.05999999999999517
5.0,38.0,2981,53.669,3054.0,53.355,73.0,-0.31400000000000006
5.0,39.0,3497,60.336,3667.0,61.826,170.0,1.490000000000002
5.0,40.0,3411,41.731,3538.0,37.856,127.0,-3.875
6.0,1.0,1645,26.995,2048.0,31.968,403.0,4.972999999999999
6.0,2.0,1814,28.917,1809.0,26.178,-5.0,-2.7390000000000008
6.0,3.0,548,8.215,1197.0,18.879,649.0,10.664000000000001
6.0,4.0,1870,33.154,2626.0,38.24,756.0,5.0859999999999985
6.0,5.0,2755,48.052,2523.0,40.03,-232.0,-8.021999999999998
6.0,6.0,0,0.0,0.0,0.0,0.0,0.0
6.0,7.0,1821,29.428,2113.0,35.046,292.0,5.6179999999999986
6.0,8.0,654,10.418,1423.0,21.462,769.0,11.044
6.0,9.0,1727,32.044,1746.0,27.206,19.0,-4.837999999999997
6.0,10.0,1274,18.808,1768.0,25.383,494.0,6.574999999999999
6.0,11.0,2380,43.714,2249.0,35.562,-131.0,-8.152000000000001
6.0,12.0,703,10.397,1365.0,18.525,662.0,8.127999999999998
6.0,13.0,791,12.475,1496.0,22.178,705.0,9.703000000000001
6.0,14.0,1357,20.402,1262.0,20.832,-95.0,0.4299999999999997
6.0,15.0,566,8.624,1190.0,18.184,624.0,9.56
6.0,16.0,785,10.428,1302.0,18.865,517.0,8.436999999999998
6.0,17.0,1726,27.804,1800.0,25.104,74.0,-2.6999999999999993
6.0,18.0,2247,35.898,2354.0,33.99,107.0,-1.9080000000000013
6.0,19.0,1984,32.616,2140.0,30.013,156.0,-2.602999999999998
6.0,20.0,978,9.172,806.0,10.997,-172.0,1.8249999999999993
6.0,21.0,1352,19.86,1424.0,19.392,72.0,-0.46799999999999997
6.0,22.0,2715,31.502,2121.0,35.413,-594.0,3.910999999999998
6.0,23.0,491,5.553,934.0,12.43,443.0,6.877
6.0,24.0,1213,16.587,1774.0,26.21,561.0,9.623000000000001
6.0,25.0,921,12.545,1295.0,18.125,374.0,5.58
6.0,26.0,819,14.141,1613.0,24.965,794.0,10.824
6.0,27.0,2286,39.43,2198.0,32.854,-88.0,-6.5760000000000005
6.0,28.0,1671,24.839,1686.0,22.669,15.0,-2.169999999999998
6.0,29.0,1088,16.977,1633.0,23.852,545.0,6.875
6.0,30.0,702,9.148,879.0,10.903,177.0,1.7550000000000008
6.0,31.0,892,15.334,1272.0,20.227,380.0,4.893000000000001
6.0,32.0,991,14.022,1099.0,15.878,108.0,1.8559999999999999
6.0,33.0,1729,22.601,1911.0,26.577,182.0,3.9760000000000026
6.0,34.0,1313,19.135,1406.0,19.199,93.0,0.06400000000000006
6.0,35.0,1105,18.214,1526.0,25.438,421.0,7.224
6.0,36.0,2366,42.717,2328.0,36.752,-38.0,-5.964999999999996
6.0,37.0,594,9.96,929.0,14.775,335.0,4.8149999999999995
6.0,38.0,994,15.253,1465.0,22.039,471.0,6.786000000000001
6.0,39.0,1219,19.16,1969.0,29.539,750.0,10.379000000000001
6.0,40.0,2978,34.791,3586.0,33.13,608.0,-1.6609999999999943
7.0,1.0,644,8.468,675.0,8.611,31.0,0.14300000000000068
7.0,2.0,1930,32.456,1996.0,32.392,66.0,-0.06400000000000006
7.0,3.0,1896,31.277,1854.0,32.298,-42.0,1.0210000000000008
7.0,4.0,1186,17.23,1774.0,19.105,588.0,1.875
7.0,5.0,2253,37.422,2304.0,37.534,51.0,0.11200000000000188
7.0,6.0,1726,28.712,2138.0,35.303,412.0,6.5909999999999975
7.0,7.0,0,0.0,0.0,0.0,0.0,0.0
7.0,8.0,1987,32.961,2080.0,34.881,93.0,1.9200000000000017
7.0,9.0,1226,21.414,1344.0,21.39,118.0,-0.02400000000000091
7.0,10.0,1879,26.313,2427.0,32.593,548.0,6.280000000000005
7.0,11.0,1879,33.084,2030.0,33.066,151.0,-0.018000000000000682
7.0,12.0,1923,27.931,2019.0,34.064,96.0,6.132999999999999
7.0,13.0,2123,35.019,2153.0,35.597,30.0,0.578000000000003
7.0,14.0,2076,31.775,2233.0,37.195,157.0,5.420000000000002
7.0,15.0,1865,30.837,1847.0,31.603,-18.0,0.7660000000000018
7.0,16.0,1802,26.305,1962.0,32.292,160.0,5.987000000000002
7.0,17.0,1928,32.908,2003.0,32.935,75.0,0.027000000000001023
7.0,18.0,2082,34.995,2141.0,34.971,59.0,-0.02400000000000091
7.0,19.0,2265,38.658,2366.0,38.323,101.0,-0.33500000000000085
7.0,20.0,1283,22.01,1363.0,22.822,80.0,0.8119999999999976
7.0,21.0,1522,26.235,1655.0,26.256,133.0,0.021000000000000796
7.0,22.0,3738,48.944,3262.0,55.529,-476.0,6.585000000000001
7.0,23.0,1995,30.711,2081.0,37.357,86.0,6.646000000000001
7.0,24.0,2182,31.41,2636.0,39.109,454.0,7.699000000000002
7.0,25.0,2232,36.092,2529.0,42.792,297.0,6.700000000000003
7.0,26.0,2151,36.684,2270.0,38.384,119.0,1.7000000000000028
7.0,27.0,1784,28.8,2127.0,30.088,343.0,1.2880000000000003
7.0,28.0,2139,36.095,2263.0,36.046,124.0,-0.04899999999999949
7.0,29.0,932,13.684,1068.0,15.029,136.0,1.3450000000000006
7.0,30.0,1436,22.645,1536.0,23.435,100.0,0.7899999999999991
7.0,31.0,1605,22.603,1931.0,27.437,326.0,4.834
7.0,32.0,1029,15.391,1046.0,17.079,17.0,1.6880000000000006
7.0,33.0,3220,48.501,2803.0,46.252,-417.0,-2.2489999999999952
7.0,34.0,1605,27.209,1526.0,21.283,-79.0,-5.925999999999998
7.0,35.0,1876,29.152,2185.0,32.648,309.0,3.496000000000002
7.0,36.0,1865,32.087,2109.0,34.256,244.0,2.168999999999997
7.0,37.0,1421,20.935,1581.0,22.022,160.0,1.0869999999999997
7.0,38.0,1921,29.908,2224.0,33.355,303.0,3.4469999999999956
7.0,39.0,2621,38.718,2714.0,47.956,93.0,9.238
7.0,40.0,4211,59.519,4863.0,64.069,652.0,4.550000000000004
8.0,1.0,1774,29.642,1977.0,31.223,203.0,1.5809999999999995
8.0,2.0,2277,36.08,2178.0,37.897,-99.0,1.8170000000000002
8.0,3.0,503,6.32,480.0,6.041,-23.0,-0.2789999999999999
8.0,4.0,1999,35.801,2544.0,37.488,545.0,1.6869999999999976
8.0,5.0,2884,50.696,2959.0,52.294,75.0,1.597999999999999
8.0,6.0,711,11.464,1435.0,21.36,724.0,9.895999999999999
8.0,7.0,1950,32.075,2041.0,34.301,91.0,2.225999999999999
8.0,8.0,0,0.0,0.0,0.0,0.0,0.0
8.0,9.0,1856,34.691,1999.0,36.152,143.0,1.4609999999999985
8.0,10.0,1332,19.812,1658.0,21.786,326.0,1.9740000000000002
8.0,11.0,2509,46.358,2685.0,47.826,176.0,1.4680000000000035
8.0,12.0,471,5.718,584.0,6.851,113.0,1.133
8.0,13.0,198,2.119,214.0,1.982,16.0,-0.13700000000000023
8.0,14.0,1754,26.762,1374.0,22.877,-380.0,-3.8850000000000016
8.0,15.0,305,3.974,470.0,5.462,165.0,1.4879999999999995
8.0,16.0,505,6.309,620.0,7.537,115.0,1.2279999999999998
8.0,17.0,2188,34.967,2170.0,36.823,-18.0,1.8560000000000016
8.0,18.0,2712,48.269,2724.0,45.709,12.0,-2.559999999999995
8.0,19.0,2446,39.779,2510.0,41.732,64.0,1.9529999999999959
8.0,20.0,1404,18.11,1256.0,19.338,-148.0,1.2280000000000015
8.0,21.0,2152,39.509,2006.0,32.911,-146.0,-6.597999999999999
8.0,22.0,2859,34.475,2025.0,33.854,-834.0,-0.6210000000000022
8.0,23.0,697,9.964,621.0,9.349,-76.0,-0.6150000000000002
8.0,24.0,912,11.644,827.0,11.588,-85.0,-0.05600000000000094
8.0,25.0,1066,15.516,1069.0,14.788,3.0,-0.7279999999999998
8.0,26.0,350,5.354,531.0,7.346,181.0,1.992
8.0,27.0,2415,42.077,2566.0,43.135,151.0,1.0579999999999998
8.0,28.0,2134,32.002,2165.0,35.5,31.0,3.4979999999999976
8.0,29.0,1210,19.623,1640.0,25.361,430.0,5.7379999999999995
8.0,30.0,1159,17.475,1308.0,19.059,149.0,1.5839999999999996
8.0,31.0,942,15.149,1144.0,14.914,202.0,-0.23499999999999943
8.0,32.0,1553,27.283,1483.0,23.797,-70.0,-3.4860000000000007
8.0,33.0,1416,17.452,1175.0,15.082,-241.0,-2.370000000000001
8.0,34.0,2235,40.483,1987.0,31.247,-248.0,-9.235999999999997
8.0,35.0,958,13.188,918.0,13.566,-40.0,0.3780000000000001
8.0,36.0,2495,45.361,2764.0,49.016,269.0,3.655000000000001
8.0,37.0,717,12.606,883.0,14.042,166.0,1.436
8.0,38.0,913,12.432,865.0,12.785,-48.0,0.35299999999999976
8.0,39.0,751,10.373,941.0,13.262,190.0,2.889000000000001
8.0,40.0,3481,44.011,3910.0,41.057,429.0,-2.9540000000000006
9.0,1.0,917,16.14,1096.0,15.888,179.0,-0.25200000000000067
9.0,2.0,756,11.723,720.0,11.505,-36.0,-0.21799999999999997
9.0,3.0,1811,33.832,1815.0,33.982,4.0,0.14999999999999858
9.0,4.0,447,7.287,890.0,7.513,443.0,0.22599999999999998
9.0,5.0,1079,16.689,1029.0,16.647,-50.0,-0.04200000000000159
9.0,6.0,1642,31.267,1534.0,23.169,-108.0,-8.097999999999999
9.0,7.0,1230,21.389,1357.0,21.4,127.0,0.010999999999999233
9.0,8.0,1902,35.516,2041.0,36.565,139.0,1.0489999999999995
9.0,9.0,0,0.0,0.0,0.0,0.0,0.0
9.0,10.0,1909,33.998,2369.0,38.349,460.0,4.350999999999999
9.0,11.0,705,12.351,754.0,12.179,49.0,-0.1720000000000006
9.0,12.0,1817,33.6,1980.0,35.748,163.0,2.147999999999996
9.0,13.0,2039,37.574,2114.0,37.281,75.0,-0.29299999999999926
9.0,14.0,1311,23.604,1420.0,26.683,109.0,3.0790000000000006
9.0,15.0,1780,33.392,1808.0,33.287,28.0,-0.10500000000000398
9.0,16.0,1832,33.989,1923.0,33.976,91.0,-0.012999999999998124
9.0,17.0,754,12.175,727.0,12.048,-27.0,-0.12700000000000067
9.0,18.0,908,14.262,865.0,14.084,-43.0,-0.17800000000000082
9.0,19.0,1090,17.925,1090.0,17.436,0.0,-0.48900000000000077
9.0,20.0,1198,24.565,1324.0,24.506,126.0,-0.05900000000000105
9.0,21.0,262,3.605,262.0,3.647,0.0,0.041999999999999815
9.0,22.0,3250,43.57,2639.0,49.271,-611.0,5.7010000000000005
9.0,23.0,1533,24.905,1455.0,24.954,-78.0,0.04899999999999949
9.0,24.0,2212,39.094,2395.0,41.321,183.0,2.2269999999999968
9.0,25.0,1554,26.222,1905.0,33.426,351.0,7.204000000000001
9.0,26.0,2066,39.239,2117.0,37.782,51.0,-1.4570000000000007
