src,dst,time_s,distance_km,year
1,1,0,0.0,2014
1,2,1722,28.843,2014
1,3,742,11.338,2014
1,4,1813,30.527,2014
1,5,892,16.107,2014
1,6,1821,29.009,2014
1,7,1547,27.802,2014
1,8,1700,27.631,2014
1,9,1692,28.403,2014
1,10,1596,27.626,2014
1,11,1750,29.713,2014
1,12,1109,19.576,2014
1,13,1190,20.953,2014
1,14,1822,28.277,2014
1,15,2123,34.105,2014
1,16,2059,33.658,2014
1,17,1978,34.251,2014
1,18,1807,30.813,2014
1,19,1136,16.932,2014
1,20,1262,20.211,2014
1,21,1546,25.299,2014
1,22,855,12.957,2014
1,23,3046,46.067,2014
1,24,1273,21.927,2014
1,25,1817,31.847,2014
1,26,1533,26.805,2014
1,27,1862,32.603,2014
1,28,2378,39.27,2014
1,29,3879,54.239,2014
1,30,1492,25.223,2014
1,31,1028,15.075,2014
1,32,852,10.961,2014
1,33,2508,41.507,2014
1,34,444,5.648,2014
1,35,1322,22.732,2014
1,36,1432,23.649,2014
1,37,2788,43.322,2014
1,38,4044,52.639,2014
1,39,609,8.249,2014
1,40,1008,13.398,2014
1,41,2186,35.161,2014
1,42,2094,34.125,2014
1,43,1359,24.427,2014
1,44,834,11.778,2014
1,45,1537,23.331,2014
1,46,1747,29.085,2014
1,47,1464,25.151,2014
1,48,951,14.217,2014
1,49,2357,40.694,2014
1,50,1284,18.544,2014
2,1,1896,31.98,2014
2,2,0,0.0,2014
2,3,2121,38.14,2014
2,4,541,7.202,2014
2,5,1977,37.005,2014
2,6,1454,22.155,2014
2,7,2632,48.7,2014
2,8,689,10.642,2014
2,9,552,8.869,2014
2,10,1891,32.382,2014
2,11,2413,40.477,2014
2,12,1193,20.232,2014
2,13,1832,28.563,2014
2,14,345,4.954,2014
2,15,1304,19.618,2014
2,16,714,10.505,2014
2,17,738,10.504,2014
2,18,1783,26.994,2014
2,19,1332,21.962,2014
2,20,1165,15.601,2014
2,21,1065,17.492,2014
2,22,1380,21.504,2014
2,23,1214,14.092,2014
2,24,1797,26.788,2014
2,25,1127,18.621,2014
2,26,2618,47.703,2014
2,27,1081,17.865,2014
2,28,1258,16.317,2014
2,29,3130,39.002,2014
2,30,750,9.705,2014
2,31,1497,24.05,2014
2,32,1926,31.841,2014
2,33,953,12.158,2014
2,34,1587,27.907,2014
2,35,720,11.519,2014
2,36,677,10.72,2014
2,37,1196,15.585,2014
2,38,2986,35.594,2014
2,39,1611,27.822,2014
2,40,1808,26.925,2014
2,41,863,12.253,2014
2,42,1275,19.638,2014
2,43,2089,36.338,2014
2,44,1623,25.584,2014
2,45,1220,18.92,2014
2,46,24,0.242,2014
2,47,1328,21.048,2014
2,48,1517,24.675,2014
2,49,1956,31.044,2014
2,50,1611,23.979,2014
3,1,784,11.337,2014
3,2,1955,35.029,2014
3,3,0,0.0,2014
3,4,2046,36.713,2014
3,5,436,7.228,2014
3,6,2054,35.195,2014
3,7,1091,18.923,2014
3,8,1933,33.817,2014
3,9,1925,34.589,2014
3,10,1140,18.747,2014
3,11,1294,20.834,2014
3,12,1342,25.762,2014
3,13,734,12.074,2014
3,14,2055,34.463,2014
3,15,2356,40.291,2014
3,16,1992,33.472,2014
3,17,2210,40.437,2014
3,18,1351,21.934,2014
3,19,1508,25.114,2014
3,20,1495,26.397,2014
3,21,1779,31.485,2014
3,22,1096,19.143,2014
3,23,2691,40.951,2014
3,24,708,8.937,2014
3,25,2050,38.033,2014
3,26,1077,17.926,2014
3,27,2095,38.789,2014
3,28,2611,45.456,2014
3,29,3423,45.36,2014
3,30,1725,31.409,2014
3,31,1408,24.414,2014
3,32,957,12.759,2014
3,33,2740,47.693,2014
3,34,691,11.739,2014
3,35,1555,28.918,2014
3,36,1665,29.835,2014
3,37,3021,49.508,2014
3,38,4108,56.273,2014
3,39,1038,18.69,2014
3,40,762,10.094,2014
3,41,2119,34.975,2014
3,42,2327,40.311,2014
3,43,903,15.548,2014
3,44,1292,17.516,2014
3,45,1417,22.215,2014
3,46,1980,35.271,2014
3,47,1008,16.272,2014
3,48,1518,23.718,2014
3,49,1901,31.815,2014
3,50,970,15.195,2014
4,1,1774,29.641,2014
4,2,503,6.32,2014
4,3,1999,35.801,2014
4,4,0,0.0,2014
4,5,1855,34.666,2014
4,6,1332,19.813,2014
