src,dst,time_s,distance_km,year
1,1,0,0.0,2025
1,2,964,11.625,2025
1,3,1017,12.571,2025
1,4,891,10.856,2025
1,5,808,9.951,2025
1,6,1031,12.977,2025
1,7,1127,14.069,2025
1,8,905,11.525,2025
1,9,907,11.126,2025
1,10,1085,13.882,2025
1,11,757,8.816,2025
1,12,864,10.522,2025
1,13,947,12.014,2025
1,14,690,6.618,2025
1,15,1015,12.852,2025
1,16,821,10.107,2025
1,17,797,9.873,2025
1,18,880,10.782,2025
1,19,1210,14.845,2025
1,20,923,11.097,2025
1,21,1094,13.361,2025
1,22,20,0.183,2025
1,23,973,12.045,2025
1,24,988,15.307,2025
1,25,1008,12.226,2025
1,26,909,11.406,2025
1,27,1069,13.476,2025
1,28,1146,15.349,2025
1,29,31,0.287,2025
1,30,932,11.844,2025
1,31,992,12.849,2025
1,32,949,11.264,2025
1,33,971,11.736,2025
1,34,775,9.354,2025
1,35,847,10.308,2025
1,36,971,11.781,2025
1,37,969,12.192,2025
1,38,1003,12.432,2025
1,39,913,11.379,2025
1,40,834,10.393,2025
1,41,980,12.289,2025
1,42,1113,15.41,2025
1,43,1029,12.909,2025
1,44,871,11.028,2025
1,45,779,9.294,2025
1,46,1033,12.911,2025
1,47,1156,14.689,2025
1,48,1085,14.376,2025
1,49,801,9.43,2025
1,50,811,9.582,2025
2,1,892,10.388,2025
2,2,0,0.0,2025
2,3,605,8.771,2025
2,4,318,3.65,2025
2,5,163,1.979,2025
2,6,470,6.457,2025
2,7,420,5.355,2025
2,8,313,4.385,2025
2,9,308,3.986,2025
2,10,378,5.168,2025
2,11,244,3.046,2025
2,12,162,1.612,2025
2,13,267,3.591,2025
2,14,866,10.496,2025
2,15,468,6.443,2025
2,16,256,3.207,2025
2,17,219,2.698,2025
2,18,288,3.642,2025
2,19,650,8.325,2025
2,20,324,3.957,2025
2,21,478,5.493,2025
2,22,912,10.556,2025
2,23,558,8.467,2025
2,24,731,11.768,2025
2,25,147,1.473,2025
2,26,223,2.381,2025
2,27,477,6.336,2025
2,28,776,11.989,2025
2,29,924,10.675,2025
2,30,348,4.595,2025
2,31,462,6.553,2025
2,32,357,4.124,2025
2,33,532,6.806,2025
2,34,360,4.81,2025
2,35,239,2.838,2025
2,36,540,6.851,2025
2,37,289,3.769,2025
2,38,266,3.361,2025
2,39,552,7.923,2025
2,40,469,6.621,2025
2,41,235,3.133,2025
2,42,634,10.025,2025
2,43,387,4.673,2025
2,44,335,4.843,2025
2,45,191,2.545,2025
2,46,473,6.391,2025
2,47,450,6.278,2025
2,48,721,10.604,2025
2,49,171,2.117,2025
2,50,395,5.038,2025
3,1,1063,12.816,2025
3,2,650,8.746,2025
3,3,0,0.0,2025
3,4,657,9.104,2025
